iter	RMSE
202	45.41857976
203	45.39428354
204	45.3615507
205	45.31369542
206	45.27994825
207	45.24310766
208	45.16792754
209	45.14468064
210	45.07781885
211	45.03621707
212	45.015255
213	44.96742474
214	44.90101749
215	44.86050526
216	44.81162683
217	44.78161904
218	44.75346797
219	44.69989406
220	44.6571842
221	44.58701981
222	44.52911876
223	44.4745929
224	44.40983224
225	44.36031448
226	44.33267745
227	44.29019836
228	44.2638702
229	44.22056188
230	44.17852043
231	44.13335028
232	44.10903662
233	44.06598877
234	44.0125621
235	43.97516451
236	43.94917431
237	43.90682373
238	43.87137748
239	43.81782915
240	43.79258494
241	43.77220418
242	43.7486764
243	43.69534967
244	43.65754738
245	43.6229666
246	43.55066387
247	43.52677057
248	43.49333232
249	43.46179053
250	43.43633504
251	43.40715415
252	43.38886392
253	43.34136582
254	43.29384865
255	43.25333804
256	43.22991387
257	43.200308
258	43.16897029
259	43.1232101
260	43.08200463
261	43.03153824
262	42.99323927
263	42.96512796
264	42.93363385
265	42.90207539
266	42.87187913
267	42.81873313
268	42.7972192
269	42.77792135
270	42.7351981
271	42.69498647
272	42.67811298
273	42.6473961
274	42.61290928
275	42.56800992
276	42.54386356
277	42.49181563
278	42.46343501
279	42.4419141
280	42.41615843
281	42.40090913
282	42.37768306
283	42.34731104
284	42.3202622
285	42.28324919
286	42.25508684
287	42.22241361
288	42.20047858
289	42.13999292
290	42.101741
291	42.08140521
292	42.05512968
293	42.01627895
294	41.99246427
295	41.93634536
296	41.89629041
297	41.87403765
298	41.83885859
299	41.80773232
300	41.76785896
301	41.73436333
302	41.70211356
303	41.66996808
304	41.62847481
305	41.60284578
306	41.57311003
307	41.54801911
308	41.5347818
309	41.49838749
310	41.45464479
311	41.41238749
312	41.3963967
313	41.38751755
314	41.36570281
315	41.33411817
316	41.31724828
317	41.29569396
318	41.24821485
319	41.2293349
320	41.22032406
321	41.19850248
322	41.17871649
323	41.15074613
324	41.13051851
325	41.11103222
326	41.09627421
327	41.08483222
328	41.06915488
329	41.00802243
330	40.9910237
331	40.97184697
332	40.95422029
333	40.92406223
334	40.90650482
335	40.88376877
336	40.8735143
337	40.85611506
338	40.81791406
339	40.79048142
340	40.77867142
341	40.7558006
342	40.72780666
343	40.70758291
344	40.68869653
345	40.6690917
346	40.65303156
347	40.62873702
348	40.60666344
349	40.59088979
350	40.57770177
351	40.55322027
352	40.52855602
353	40.50906416
354	40.47353482
355	40.44501615
356	40.42495223
357	40.38282279
358	40.35851692
359	40.34182914
360	40.31906576
361	40.30123333
362	40.26457351
363	40.2389314
364	40.23339088
365	40.21588216
366	40.19850384
367	40.18103129
368	40.1548996
369	40.1449444
370	40.11930202
371	40.09747871
372	40.07761963
373	40.06044182
374	40.03945904
375	40.03108134
376	40.01738176
377	39.99851758
378	39.98205192
379	39.97571498
380	39.95847356
381	39.94093697
382	39.91973071
383	39.91386219
384	39.90160485
385	39.88411997
386	39.85315115
387	39.82602531
388	39.79697352
389	39.76698426
390	39.75782953
391	39.74388427
392	39.69710456
393	39.66936423
394	39.6471265
395	39.62615304
396	39.62175679
397	39.60964307
398	39.60444663
399	39.57960007
400	39.56342817
401	39.52186442
402	39.50173495
403	39.48925262
404	39.47560106
405	39.46021964
406	39.45646934
407	39.43612278
408	39.41876963
409	39.39687805
410	39.3759035
411	39.34771361
412	39.324782
413	39.30494018
414	39.30055861
415	39.28825536
416	39.27195783
417	39.25123281
418	39.23829148
419	39.21987353
420	39.20524533
421	39.18394806
422	39.16764238
423	39.15516105
424	39.13542496
425	39.11635142
426	39.09681017
427	39.07695294
428	39.05556622
429	39.04504904
430	39.03175874
431	39.02131738
432	39.00469895
433	38.98677376
434	38.97534229
435	38.964167
436	38.95112013
437	38.92134685
438	38.91394767
439	38.90320428
440	38.88300334
441	38.84545116
442	38.81524884
443	38.79522023
444	38.77943605
445	38.76810292
446	38.74260533
447	38.71514675
448	38.70075049
449	38.69086309
450	38.66968295
451	38.66237152
452	38.64371197
453	38.6298364
454	38.60470625
455	38.59222942
456	38.55306488
457	38.54711071
458	38.52650453
459	38.50654914
460	38.49107476
461	38.47558455
462	38.46549187
463	38.44924662
464	38.41561729
465	38.40932068
466	38.39887185
467	38.37896609
468	38.37319321
469	38.358457
470	38.34360071
471	38.32500464
472	38.31195577
473	38.30160013
474	38.28980699
475	38.26922314
476	38.25521026
477	38.24013353
478	38.21016153
479	38.19328951
480	38.16553034
481	38.14644216
482	38.13700439
483	38.12542449
484	38.11078588
485	38.0934023
486	38.06016386
487	38.01647941
488	37.97877411
489	37.96355711
490	37.94422795
491	37.93106277
492	37.91064928
493	37.8866604
494	37.87121024
495	37.84958543
496	37.82515341
497	37.80018056
498	37.78633867
499	37.76475725
500	37.75775054
501	37.74469604
502	37.73692664
503	37.7285028
504	37.71661982
505	37.69352424
506	37.68132142
507	37.66413678
508	37.64640908
509	37.63639583
510	37.62066223
511	37.61070491
512	37.59846784
513	37.58867483
514	37.57711447
515	37.56189748
516	37.54919289
517	37.5373322
518	37.51385227
519	37.49137854
520	37.48140717
521	37.46604638
522	37.45560235
523	37.43835612
524	37.41575705
525	37.38918068
526	37.37710853
527	37.36816008
528	37.35174749
529	37.33717802
530	37.32445411
531	37.30857641
532	37.30303479
533	37.2936978
534	37.2843365
535	37.27269024
536	37.26553458
537	37.25973375
538	37.24943581
539	37.23881781
540	37.23137348
541	37.21377424
542	37.20453092
543	37.18760858
544	37.18224188
545	37.17491572
546	37.16564585
547	37.15627096
548	37.1437859
549	37.13764638
550	37.12365595
551	37.12018365
552	37.10799453
553	37.09923959
554	37.09578106
555	37.09153425
556	37.08927257
557	37.07454837
558	37.06287074
559	37.04987828
560	37.03249961
561	37.01709875
562	37.00392915
563	36.989681
564	36.96808215
565	36.94664411
566	36.92678147
567	36.90413479
568	36.88476674
569	36.87246673
570	36.86714589
571	36.8589021
572	36.846018
573	36.83437809
574	36.82659398
575	36.81590594
576	36.80939252
577	36.80308998
578	36.78995438
579	36.77176655
580	36.77044565
581	36.75708043
582	36.75204207
583	36.73511173
584	36.7240926
585	36.70551078
586	36.69034631
587	36.67472989
588	36.66308297
589	36.65768905
590	36.64576346
591	36.63471758
592	36.61711573
593	36.60080034
594	36.58210787
595	36.57217581
596	36.55927637
597	36.5436766
598	36.53221843
599	36.52544864
600	36.52304939
601	36.5100987
602	36.50256356
603	36.49265001
604	36.48152038
605	36.47508677
606	36.46542968
607	36.4509911
608	36.4469891
609	36.42155615
610	36.40930965
611	36.40646053
612	36.39212008
613	36.38209049
614	36.37019994
615	36.35935829
616	36.34899185
617	36.3334172
618	36.33073588
619	36.31576468
620	36.30731938
621	36.29881276
622	36.28688963
623	36.27825314
624	36.27126337
625	36.25562358
626	36.23987183
627	36.23063465
628	36.21329348
629	36.19987871
630	36.18054106
631	36.16996048
632	36.15708041
633	36.14453543
634	36.12643631
635	36.1064305
636	36.1019692
637	36.09324438
638	36.08083085
639	36.07153853
640	36.05957025
641	36.04384645
642	36.03232128
643	36.02438298
644	36.01849199
645	36.0028655
646	35.99196963
647	35.98355964
648	35.96718503
649	35.96057622
650	35.95939664
651	35.95268477
652	35.94245228
653	35.93578341
654	35.92219688
655	35.90415007
656	35.89630537
657	35.88640049
658	35.88050459
659	35.87259479
660	35.86120398
661	35.85642298
662	35.84407294
663	35.83639159
664	35.82829753
665	35.81170476
666	35.80045654
667	35.7915724
668	35.76590731
669	35.74778969
670	35.74248026
671	35.73493629
672	35.7207948
673	35.70369293
674	35.69494382
675	35.6885398
676	35.67621014
677	35.65849435
678	35.64853346
679	35.64362905
680	35.63498783
681	35.62052796
682	35.61218343
683	35.59960648
684	35.5906823
685	35.58646878
686	35.58187749
687	35.56394955
688	35.55000974
689	35.53992619
690	35.52761302
691	35.52058651
692	35.50988319
693	35.49527758
694	35.48639657
695	35.47319522
696	35.45457789
697	35.44544546
698	35.43514872
699	35.43032152
700	35.41785489
701	35.40735159
702	35.39013416
703	35.37975455
704	35.37138487
705	35.36992257
706	35.35984113
707	35.34691852
708	35.34125818
709	35.33712137
710	35.32795357
711	35.31512354
712	35.30703926
713	35.30213146
714	35.2932362
715	35.28608703
716	35.27810533
717	35.26608611
718	35.25661478
719	35.24045031
720	35.23187976
721	35.2315812
722	35.21667596
723	35.20772488
724	35.20111888
725	35.18936189
726	35.1798725
727	35.17547522
728	35.16514779
729	35.15283173
730	35.14198773
731	35.12227226
732	35.11402925
733	35.1060864
734	35.0895622
735	35.07865535
736	35.07422743
737	35.06835169
738	35.06823265
739	35.05963189
740	35.05003085
741	35.03463992
742	35.0208216
743	35.02058705
744	35.00667926
745	35.00133849
746	34.99005006
747	34.98392837
748	34.98269095
749	34.97682206
750	34.967263
751	34.9594493
752	34.94845018
753	34.93861258
754	34.93740507
755	34.92463205
756	34.91335716
757	34.89668803
758	34.88746317
759	34.87754617
760	34.86482017
761	34.85894018
762	34.85108676
763	34.84340936
764	34.83385213
765	34.82115487
766	34.81850399
767	34.81193455
768	34.80310175
769	34.79434866
770	34.79009059
771	34.77379709
772	34.76319411
773	34.76299556
774	34.7571743
775	34.75214612
776	34.74476805
777	34.74152871
778	34.73613196
779	34.72627874
780	34.72236531
781	34.71636754
782	34.71097704
783	34.68654657
784	34.68097174
785	34.6762266
786	34.67222934
787	34.66601853
788	34.64734489
789	34.64412338
790	34.63610107
791	34.62714175
792	34.62028971
793	34.61267295
794	34.60165342
795	34.59668518
796	34.58920512
797	34.58161293
798	34.56688059
799	34.55998373
800	34.55378458
801	34.54820099
802	34.54409755
803	34.53568205
804	34.53159095
805	34.527767
806	34.51307462
807	34.50557012
808	34.4930775
809	34.48852479
810	34.48020442
811	34.46467162
812	34.46087002
813	34.45441489
814	34.44074711
815	34.42980976
816	34.42397457
817	34.42155609
818	34.41049428
819	34.39549116
820	34.38257639
821	34.37185935
822	34.36199347
823	34.35520724
824	34.3470516
825	34.34109605
826	34.33512818
827	34.32817493
828	34.31533533
829	34.31107201
830	34.3085111
831	34.30488041
832	34.29387042
833	34.28865058
834	34.27841848
835	34.26345992
836	34.25896493
837	34.25505118
838	34.24601531
839	34.23649122
840	34.23160989
841	34.22299106
842	34.21884766
843	34.2137844
844	34.20917507
845	34.20756839
846	34.20645195
847	34.19926469
848	34.19304861
849	34.18780348
850	34.17867981
851	34.17625902
852	34.17198677
853	34.15198576
854	34.14797593
855	34.13296783
856	34.12033887
857	34.11633744
858	34.10411038
859	34.09932289
860	34.09684027
861	34.08970179
862	34.08458803
863	34.07625871
864	34.07517527
865	34.07064283
866	34.0588325
867	34.04741436
868	34.04137055
869	34.03919749
870	34.03697012
871	34.02949714
872	34.02412218
873	34.00969237
874	34.00230001
875	33.99842552
876	33.99357674
877	33.99296906
878	33.98468353
879	33.9812485
880	33.97182819
881	33.96522239
882	33.95444573
883	33.94333316
884	33.94006036
885	33.93128659
886	33.92250363
887	33.91332526
888	33.89277211
889	33.88492046
890	33.87535547
891	33.86879597
892	33.86271336
893	33.85691937
894	33.8501424
895	33.82664515
896	33.81544317
897	33.80490855
898	33.80141697
899	33.78390574
900	33.7709085
901	33.75711173
902	33.74525806
903	33.73166934
904	33.71735827
905	33.7085123
906	33.70209321
907	33.69308092
908	33.68150671
909	33.6746743
910	33.67329325
911	33.66705002
912	33.65533984
913	33.64680525
914	33.63905077
915	33.62339392
916	33.61399871
917	33.60674315
918	33.59753894
919	33.58494984
920	33.5758422
921	33.5685129
922	33.55421445
923	33.54817148
924	33.54766833
925	33.54285318
926	33.53808838
927	33.53000149
928	33.52571875
929	33.51848262
930	33.51798812
931	33.51040255
932	33.5034907
933	33.49783172
934	33.49054812
935	33.48473768
936	33.47677212
937	33.4732396
938	33.46937349
939	33.46085432
940	33.45303235
941	33.44744093
942	33.4375955
943	33.42738888
944	33.41718967
945	33.41645756
946	33.40957726
947	33.40371377
948	33.39614629
949	33.38869726
950	33.38384161
951	33.37656939
952	33.36864705
953	33.35767513
954	33.35494345
955	33.34639691
956	33.3429781
957	33.33632323
958	33.33253585
959	33.33059296
960	33.31850196
961	33.31163153
962	33.30313622
963	33.29780123
964	33.29074379
965	33.28213615
966	33.27602246
967	33.2729172
968	33.26586557
969	33.25372504
970	33.24925453
971	33.24192967
972	33.23395232
973	33.23159347
974	33.22736135
975	33.22116084
976	33.21287278
977	33.20202916
978	33.19489312
979	33.18573823
980	33.18161387
981	33.17575193
982	33.17044609
983	33.16242567
984	33.15379429
985	33.15223026
986	33.14483149
987	33.1364461
988	33.13352014
989	33.12485401
990	33.11944449
991	33.11840204
992	33.10538032
993	33.09759534
994	33.09018665
995	33.07827001
996	33.07640708
997	33.07226284
998	33.06620371
999	33.06152884
